Subject,manipulation,Manipulation,Stimulation,Session,VisualF,Response,StartTime
S1,Bi,Control,Sham,Pre,Left,0.7090909090909091,280.228733729116
S1,Bi,Control,Sham,Pre,Right,0.5961538461538461,319.0361661038747
S2,UR,Ignored Visual Field,Sham,Pre,Left,0.7321428571428571,318.24238250712887
S2,UR,Attended Visual Field,Sham,Pre,Right,0.6792452830188679,272.57025799620675
S3,UR,Attended Visual Field,Sham,Pre,Right,0.7884615384615384,287.6316379519216
S3,UR,Ignored Visual Field,Sham,Pre,Left,0.7258064516129032,314.95585931773974
S4,UR,Attended Visual Field,Sham,Pre,Right,0.7966101694915254,269.0787869474941
S4,UR,Ignored Visual Field,Sham,Pre,Left,0.7058823529411765,325.34156438632067
S5,UR,Attended Visual Field,Sham,Pre,Right,0.6730769230769231,299.02200322693363
S5,UR,Ignored Visual Field,Sham,Pre,Left,0.9245283018867925,300.39893436416946
S6,UL,Attended Visual Field,Sham,Pre,Left,0.4827586206896552,290.36736598792675
S6,UL,Ignored Visual Field,Sham,Pre,Right,0.6862745098039216,304.09058416666244
S7,UL,Attended Visual Field,Sham,Pre,Left,0.6470588235294118,283.0955975392156
S7,UL,Ignored Visual Field,Sham,Pre,Right,0.71875,316.43465041093737
S8,UR,Attended Visual Field,Sham,Pre,Right,0.6851851851851852,329.4128924703756
S8,UR,Ignored Visual Field,Sham,Pre,Left,0.7543859649122807,263.5365149228111
S9,UR,Attended Visual Field,Sham,Pre,Right,0.625,283.2440350910742
S9,UR,Ignored Visual Field,Sham,Pre,Left,0.6666666666666666,312.82666254815035
S10,UL,Attended Visual Field,Sham,Pre,Left,0.7758620689655172,269.3752710896552
S10,UL,Ignored Visual Field,Sham,Pre,Right,0.5818181818181818,324.81985137454546
S11,UR,Ignored Visual Field,Sham,Pre,Left,0.6206896551724138,277.89579562068434
S11,UR,Attended Visual Field,Sham,Pre,Right,0.7307692307692307,306.9227641173034
S12,Bi,Control,Sham,Pre,Left,0.660377358490566,300.4217154811409
S12,Bi,Control,Sham,Pre,Right,0.7169811320754716,292.2408152151027
S13,UL,Ignored Visual Field,Sham,Pre,Right,0.7407407407407407,305.70153124630235
S13,UL,Attended Visual Field,Sham,Pre,Left,0.6530612244897959,290.7107274163311
S14,Bi,Control,Sham,Pre,Right,0.6590909090909091,291.88453395681785
S14,Bi,Control,Sham,Pre,Left,0.6041666666666666,265.3287053729163
S15,UL,Attended Visual Field,Sham,Pre,Left,0.7037037037037037,300.10521317593225
S15,UL,Ignored Visual Field,Sham,Pre,Right,0.6666666666666666,298.4857658316733
S16,UL,Ignored Visual Field,Sham,Pre,Right,0.6363636363636364,289.70082666727274
S16,UL,Attended Visual Field,Sham,Pre,Left,0.8125,310.90775977708336
S17,UR,Attended Visual Field,Sham,Pre,Right,0.6724137931034483,259.50221273449654
S17,UR,Ignored Visual Field,Sham,Pre,Left,0.8,338.72688114201185
S18,Bi,Control,Sham,Pre,Left,0.6792452830188679,268.42380281882185
S18,Bi,Control,Sham,Pre,Right,0.5471698113207547,329.5305606527781
S19,UL,Ignored Visual Field,Sham,Pre,Right,0.56,291.10876617603003
S19,UL,Attended Visual Field,Sham,Pre,Left,0.6851851851851852,308.03614443151446
S20,UL,Attended Visual Field,Sham,Pre,Left,0.5818181818181818,247.7018999963618
S20,UL,Ignored Visual Field,Sham,Pre,Right,0.6078431372549019,351.76222979803293
S21,Bi,Control,Sham,Pre,Left,0.6842105263157895,281.3185816684224
S21,Bi,Control,Sham,Pre,Right,0.6785714285714286,316.1349342000012
S22,Bi,Control,Sham,Pre,Right,0.6071428571428571,305.7800580284633
S22,Bi,Control,Sham,Pre,Left,0.5714285714285714,289.7755648855943
S23,Bi,Control,Sham,Pre,Left,0.5576923076923077,298.1231690230287
S23,Bi,Control,Sham,Pre,Right,0.7727272727272727,289.7125682772232
S24,Bi,Control,Sham,Pre,Left,0.6136363636363636,302.7752568272727
S24,Bi,Control,Sham,Pre,Right,0.711864406779661,301.10513300508467
S25,UR,Attended Visual Field,Sham,Pre,Right,0.6041666666666666,274.852073320837
S25,UR,Ignored Visual Field,Sham,Pre,Left,0.6271186440677966,317.94199596949426
S26,UR,Ignored Visual Field,Sham,Pre,Left,0.84,290.6017970000033
S26,UR,Attended Visual Field,Sham,Pre,Right,0.8596491228070176,289.4247496631627
S27,UR,Ignored Visual Field,Sham,Pre,Left,0.7916666666666666,255.51987473746945
S27,UR,Attended Visual Field,Sham,Pre,Right,0.75,280.9117235903586
S28,UL,Ignored Visual Field,Sham,Pre,Right,0.7755102040816326,318.22933267551116
S28,UL,Attended Visual Field,Sham,Pre,Left,0.8823529411764706,273.25309284510064
S29,UL,Attended Visual Field,Sham,Pre,Left,0.734375,297.1833449671858
S29,UL,Ignored Visual Field,Sham,Pre,Right,0.6739130434782609,300.3059479239114
S30,UR,Ignored Visual Field,Sham,Pre,Left,0.717948717948718,305.6713165692307
S30,UR,Attended Visual Field,Sham,Pre,Right,0.875,315.7480159875013
S31,Bi,Control,Sham,Pre,Right,0.7931034482758621,317.1660713603407
S31,Bi,Control,Sham,Pre,Left,0.7454545454545455,286.1476772890807
S32,UL,Attended Visual Field,Sham,Pre,Left,0.8148148148148148,309.91004575370386
S32,UL,Ignored Visual Field,Sham,Pre,Right,0.55,287.24544350833344
