,Subject,manipulation,Manipulation,Stimulation,Session,VisualF,Response,StartTime
0,S1,Bi,Control,Sham,Pre,Left,1,3.23000131174922e-05
1,S1,Bi,Control,Sham,Pre,Left,1,5.643429200048558
2,S1,Bi,Control,Sham,Pre,Left,1,11.024029200081712
3,S1,Bi,Control,Sham,Pre,Left,1,16.804732499993406
4,S1,Bi,Control,Sham,Pre,Left,0,22.317792500020005
5,S1,Bi,Control,Sham,Pre,Right,0,27.6488793999888
6,S1,Bi,Control,Sham,Pre,Left,0,33.24647210002877
7,S1,Bi,Control,Sham,Pre,Left,0,38.89281920006033
8,S1,Bi,Control,Sham,Pre,Right,1,44.42323179997038
9,S1,Bi,Control,Sham,Pre,Right,0,50.02094940003008
10,S1,Bi,Control,Sham,Pre,Right,0,56.334102599998005
11,S1,Bi,Control,Sham,Pre,Right,0,62.14705120003782
12,S1,Bi,Control,Sham,Pre,Left,0,70.01581680006348
13,S1,Bi,Control,Sham,Pre,Left,0,75.65715230000205
14,S1,Bi,Control,Sham,Pre,Right,1,81.20488049997948
15,S1,Bi,Control,Sham,Pre,Left,1,87.50134820002131
16,S1,Bi,Control,Sham,Pre,Right,0,93.0495844000252
17,S1,Bi,Control,Sham,Pre,Left,1,98.86335380002856
18,S1,Bi,Control,Sham,Pre,Left,1,104.2601408000337
19,S1,Bi,Control,Sham,Pre,Right,1,109.68968379998114
20,S1,Bi,Control,Sham,Pre,Left,1,115.23637060006148
21,S1,Bi,Control,Sham,Pre,Right,1,120.91712760005612
22,S1,Bi,Control,Sham,Pre,Left,1,126.431674499996
23,S1,Bi,Control,Sham,Pre,Right,1,131.86101500003133
24,S1,Bi,Control,Sham,Pre,Right,1,137.29274359997362
25,S1,Bi,Control,Sham,Pre,Left,1,143.15621010004543
26,S1,Bi,Control,Sham,Pre,Left,0,148.82022750005126
27,S1,Bi,Control,Sham,Pre,Left,1,154.7336480000522
28,S1,Bi,Control,Sham,Pre,Left,1,160.26459959999193
29,S1,Bi,Control,Sham,Pre,Left,1,165.81248750002123
30,S1,Bi,Control,Sham,Pre,Right,1,171.20810180006083
31,S1,Bi,Control,Sham,Pre,Right,0,176.88934370002244
32,S1,Bi,Control,Sham,Pre,Right,1,182.45227140001955
33,S1,Bi,Control,Sham,Pre,Left,1,187.8827022999758
34,S1,Bi,Control,Sham,Pre,Right,1,193.6310959000839
35,S1,Bi,Control,Sham,Pre,Left,0,199.1114831999876
36,S1,Bi,Control,Sham,Pre,Right,1,204.47448690002784
37,S1,Bi,Control,Sham,Pre,Right,0,209.95530640007928
38,S1,Bi,Control,Sham,Pre,Right,0,215.3872393000638
39,S1,Bi,Control,Sham,Pre,Left,0,220.79937240004077
40,S1,Bi,Control,Sham,Pre,Left,0,226.34663649997677
41,S1,Bi,Control,Sham,Pre,Left,0,232.3937199000502
42,S1,Bi,Control,Sham,Pre,Left,0,237.90842610003887
43,S1,Bi,Control,Sham,Pre,Left,0,243.6894441000186
44,S1,Bi,Control,Sham,Pre,Left,1,249.66853420005648
45,S1,Bi,Control,Sham,Pre,Left,1,255.6647145000752
46,S1,Bi,Control,Sham,Pre,Right,1,260.894892500015
47,S1,Bi,Control,Sham,Pre,Left,1,266.5104685999686
48,S1,Bi,Control,Sham,Pre,Right,0,271.92311830003746
49,S1,Bi,Control,Sham,Pre,Right,1,277.35462420003023
50,S1,Bi,Control,Sham,Pre,Right,1,282.8690716000274
51,S1,Bi,Control,Sham,Pre,Left,1,288.2319753000047
52,S1,Bi,Control,Sham,Pre,Right,1,293.5624614000553
53,S1,Bi,Control,Sham,Pre,Right,1,299.0946836000076
54,S1,Bi,Control,Sham,Pre,Left,1,304.62371820001863
55,S1,Bi,Control,Sham,Pre,Right,0,310.17061590007506
56,S1,Bi,Control,Sham,Pre,Left,1,315.619249099982
57,S1,Bi,Control,Sham,Pre,Right,0,321.08253200002946
58,S1,Bi,Control,Sham,Pre,Left,1,326.4129424999701
59,S1,Bi,Control,Sham,Pre,Left,1,332.07680070004426
60,S1,Bi,Control,Sham,Pre,Right,1,337.4575935000321
61,S1,Bi,Control,Sham,Pre,Left,1,342.9038276000647
62,S1,Bi,Control,Sham,Pre,Left,1,348.2504912000149
63,S1,Bi,Control,Sham,Pre,Right,0,353.5649672000436
64,S1,Bi,Control,Sham,Pre,Left,0,359.11289740004577
65,S1,Bi,Control,Sham,Pre,Right,0,364.4102558000013
66,S1,Bi,Control,Sham,Pre,Right,1,369.7904741000384
67,S1,Bi,Control,Sham,Pre,Right,0,375.0707680999767
68,S1,Bi,Control,Sham,Pre,Right,1,380.4359427000163
69,S1,Bi,Control,Sham,Pre,Left,1,385.7990299999947
70,S1,Bi,Control,Sham,Pre,Left,1,391.61560580006335
71,S1,Bi,Control,Sham,Pre,Right,0,399.9413747000508
72,S1,Bi,Control,Sham,Pre,Left,1,405.55608170002233
73,S1,Bi,Control,Sham,Pre,Right,1,411.003597300034
74,S1,Bi,Control,Sham,Pre,Right,1,416.4827003000537
75,S1,Bi,Control,Sham,Pre,Right,1,421.9640019000508
76,S1,Bi,Control,Sham,Pre,Left,0,427.4269332999829
77,S1,Bi,Control,Sham,Pre,Left,1,432.96476030000485
78,S1,Bi,Control,Sham,Pre,Right,1,438.6545040999772
79,S1,Bi,Control,Sham,Pre,Right,1,444.13614040007815
80,S1,Bi,Control,Sham,Pre,Left,1,449.8993080999935
81,S1,Bi,Control,Sham,Pre,Right,0,455.78050730004907
82,S1,Bi,Control,Sham,Pre,Right,0,461.3618031999795
83,S1,Bi,Control,Sham,Pre,Right,0,467.1408178000711
84,S1,Bi,Control,Sham,Pre,Right,1,472.7543438000139
85,S1,Bi,Control,Sham,Pre,Left,1,479.6840023000259
86,S1,Bi,Control,Sham,Pre,Right,0,485.4484163000016
87,S1,Bi,Control,Sham,Pre,Right,1,490.82860420004
88,S1,Bi,Control,Sham,Pre,Left,1,496.1921043000184
89,S1,Bi,Control,Sham,Pre,Left,1,503.5518765000161
90,S1,Bi,Control,Sham,Pre,Right,1,508.9236166999908
91,S1,Bi,Control,Sham,Pre,Left,1,514.2669940000633
92,S1,Bi,Control,Sham,Pre,Left,1,519.6642127999803
93,S1,Bi,Control,Sham,Pre,Left,1,524.9609564000275
94,S1,Bi,Control,Sham,Pre,Right,0,530.2260529000778
95,S1,Bi,Control,Sham,Pre,Left,1,535.5894383999985
96,S1,Bi,Control,Sham,Pre,Left,0,541.2534895000281
97,S1,Bi,Control,Sham,Pre,Right,1,546.6503965000156
98,S1,Bi,Control,Sham,Pre,Right,1,551.9815215000417
99,S1,Bi,Control,Sham,Pre,Left,1,557.1956136000808
100,S1,Bi,Control,Sham,Pre,Left,0,562.5912958000554
101,S1,Bi,Control,Sham,Pre,Right,1,568.0233590999851
102,S1,Bi,Control,Sham,Pre,Left,1,573.5200298000127
103,S1,Bi,Control,Sham,Pre,Right,0,578.6338322000811
104,S1,Bi,Control,Sham,Pre,Right,1,584.080578400055
105,S1,Bi,Control,Sham,Pre,Right,1,589.5953732000198
106,S1,Bi,Control,Sham,Pre,Left,1,594.9588820000645
0,S2,UR,Ignored Visual Field,Sham,Pre,Left,1,1.2299977242946625e-05
1,S2,UR,Attended Visual Field,Sham,Pre,Right,0,6.060204299981706
2,S2,UR,Ignored Visual Field,Sham,Pre,Left,0,11.523823500028811
3,S2,UR,Ignored Visual Field,Sham,Pre,Left,0,16.971527199959382
4,S2,UR,Attended Visual Field,Sham,Pre,Right,1,22.75172099994961
5,S2,UR,Attended Visual Field,Sham,Pre,Right,1,28.581839099992067
6,S2,UR,Attended Visual Field,Sham,Pre,Right,1,33.99634940002579
7,S2,UR,Attended Visual Field,Sham,Pre,Right,1,39.376573399989866
8,S2,UR,Ignored Visual Field,Sham,Pre,Left,1,44.70728049997706
9,S2,UR,Ignored Visual Field,Sham,Pre,Left,0,50.78756169998087
10,S2,UR,Attended Visual Field,Sham,Pre,Right,1,56.11801899992861
11,S2,UR,Attended Visual Field,Sham,Pre,Right,0,61.53162689995952
12,S2,UR,Ignored Visual Field,Sham,Pre,Left,0,67.01243520004209
13,S2,UR,Ignored Visual Field,Sham,Pre,Left,1,72.4764659999637
14,S2,UR,Attended Visual Field,Sham,Pre,Right,1,77.84017450001556
15,S2,UR,Attended Visual Field,Sham,Pre,Right,1,83.17079899995588
16,S2,UR,Attended Visual Field,Sham,Pre,Right,1,88.73468769993633
17,S2,UR,Ignored Visual Field,Sham,Pre,Left,1,94.49879240000156
18,S2,UR,Attended Visual Field,Sham,Pre,Right,1,99.99571069993544
19,S2,UR,Ignored Visual Field,Sham,Pre,Left,0,105.32633129996248
20,S2,UR,Ignored Visual Field,Sham,Pre,Left,1,110.9068950000219
21,S2,UR,Attended Visual Field,Sham,Pre,Right,1,116.35367390001193
22,S2,UR,Ignored Visual Field,Sham,Pre,Left,1,121.9842389000114
23,S2,UR,Ignored Visual Field,Sham,Pre,Left,0,127.36509630002548
24,S2,UR,Attended Visual Field,Sham,Pre,Right,1,132.99532989994623
25,S2,UR,Attended Visual Field,Sham,Pre,Right,0,138.4090492000105
26,S2,UR,Attended Visual Field,Sham,Pre,Right,1,143.95617669995409
27,S2,UR,Attended Visual Field,Sham,Pre,Right,1,149.2704675999703
28,S2,UR,Ignored Visual Field,Sham,Pre,Left,1,154.65089109994005
29,S2,UR,Attended Visual Field,Sham,Pre,Right,1,159.9984145000344
30,S2,UR,Attended Visual Field,Sham,Pre,Right,0,165.3456159000052
31,S2,UR,Attended Visual Field,Sham,Pre,Right,1,171.2089310999727
32,S2,UR,Ignored Visual Field,Sham,Pre,Left,1,178.07671809999738
33,S2,UR,Attended Visual Field,Sham,Pre,Right,1,183.43620470003225
34,S2,UR,Attended Visual Field,Sham,Pre,Right,1,188.78340509999543
35,S2,UR,Ignored Visual Field,Sham,Pre,Left,1,194.2309083000291
36,S2,UR,Ignored Visual Field,Sham,Pre,Left,1,199.4947344999528
37,S2,UR,Attended Visual Field,Sham,Pre,Right,1,204.85848789999727
